Hard to watch but hard to let go. This is a great document on reality. [Full review in Spanish].|Fresh
Detroit is a gripping, infuriating snapshot of a horrible and unjust blemish on our country's history.|Fresh
Prepare for your emotions to go up and down. I'd also encourage you to do some research on the actual historical event. It never hurts to really see how far we've come, or if little progress has been made at all.|Fresh
Detroit refuses to be a film that refuses to be a film that denounces social moods. [Full Review in Spanish]|Fresh
A gut wrenching film by a masterful director set in Detroit's 1967 Riot/Uprising. The script follows too many characters, sacrificing emotional connection, but Bigelow pulls deep performances from her cast with breathtakingly powerful results.|Fresh
Detroit's most vivid statements are those left unspoken.|Fresh
Where Detroit shines the most is in its deep, talented cast that provides knockout performance after knockout performance.|Fresh
An intimate, horrifying story told on an expansive canvas.|Fresh
The documentary-style cinematography really plants you in the drama, and the performances from Will Poulter and Algee Smith are spot-on.|Fresh
How many more times do we need to glorify black pain? And to what end?|Rotten
Hard to watch but hard to let go. This is a great document on reality. [Full review in Spanish].|Fresh
Detroit is a gripping, infuriating snapshot of a horrible and unjust blemish on our country's history.|Fresh
Prepare for your emotions to go up and down. I'd also encourage you to do some research on the actual historical event. It never hurts to really see how far we've come, or if little progress has been made at all.|Fresh
Detroit refuses to be a film that refuses to be a film that denounces social moods. [Full Review in Spanish]|Fresh
A gut wrenching film by a masterful director set in Detroit's 1967 Riot/Uprising. The script follows too many characters, sacrificing emotional connection, but Bigelow pulls deep performances from her cast with breathtakingly powerful results.|Fresh
Detroit's most vivid statements are those left unspoken.|Fresh
Where Detroit shines the most is in its deep, talented cast that provides knockout performance after knockout performance.|Fresh
An intimate, horrifying story told on an expansive canvas.|Fresh
The documentary-style cinematography really plants you in the drama, and the performances from Will Poulter and Algee Smith are spot-on.|Fresh
How many more times do we need to glorify black pain? And to what end?|Rotten
The narrative lacks the dimension and insight to render the otherwise thinly-sketched characters as more than players in a well-meaning torture show built to generate somber outrage and not much else.|Rotten
Detroit is a gut-punch of a movie, one that pulls you in to the ugliness lying beneath the American id.|Fresh
An edge of your seat, white knuckle experience that will definitely invoke dialogue among viewers long after the final credits roll.|Fresh
"""Detroit"" is an exercise in ramping tension, with Bigelow's direction in particular pushing the audience past any kind of perceived breaking point."|Fresh
Bigelow never shies away from showing the true brutality of this crime, and it's uncomfortable viewing, particularly knowing it's based on fact.|Fresh
A provocative period drama that's not only captivating but eye opening with a tragically accurate yet profound statement about police criminality and social injustice.|Fresh
Detroit is a good film, and an important one, in that it illustrates with clarity and conviction what abuse of power looks like.|Fresh
Its stumbles don't fully take away the film's potency, but they certainly showcase its missed opportunities.|Rotten
Not only a tense and shocking drama, but also a multi-dimensional view of a historic event which gives it the attention and the scrutiny it deserves.|Fresh
Bigelow may have an Oscar contender here.|Fresh
Detroit reveals the stories we tell about ourselves and helps us face the myth of white innocence and the havoc it can wreak.|Fresh
Brazenly addresses the fractured relationship between disenfranchised minorities and compromised institutions that are supposed to protect and serve. Messy, timely and rightfully enraged, Bigelow's docudrama is eerily relevant.|Fresh
Look fam: there is something sadist in the obligation to give hours of your time over to something in the name of being seen as reasonable or fair, of being painstakingly careful with getting it right.|Rotten
Could happen anywhere|Fresh
It is a film that keeps the facts and scarcely tears the human content. [Full Review in Spanish]|Rotten
The creepy thing is that although it is a docudrama, and actions are dramatized, the nightmare that was lived in the motel is true. [Full review in Spanish]|Fresh
But this is Bigelow's cinema: bold, intense and radical. [Full Review in Spanish]|Fresh
A movie like this needs to be handled with a sense of responsibility and care. I feel like Kathryn Bigelow did that.|Fresh
It is both The Battle of Algiers for America, & an incendiary chapter in a history still unfinished in our own era of Trayvon Martin, Michael Brown, Eric Garner, & the Black Lives Matter movement that was triggered by their deaths at police hands.|Fresh
"This could just as well be called ""Baltimore,"" ""Ferguson"" or ""St. Paul,"" making this a film that is often hard to watch but which many may find necessary viewing."|Fresh
The cinematography (by Barry Ackroyd) - much of it hand held - feels both urgent and exhausting. It's as harrowing as documentary war footage and reminiscent of Bigelow's Zero Dark Thirty and The Hurt Locker.|Fresh
Detroit remains an unnerving illustration of a dark period in American history that deserves to be seen.|Fresh
A condemnation of police violence.|Fresh
In shining a light on a case without heroes, Detroit looks at the America of 50 years ago, and without needing to draw the obvious contemporary parallels, asks the question: Do we really want to go back there?|Fresh
A controversial portrait of racism and violence during the Detroit riots of 1967.|Fresh
"""The hurt locker"" refers to being in an enclosed space it is hard to get out of. Detroit does a very good job of putting you inside it as well."|Fresh
This is the great movie of the year in which John Boyega appears, not the one that everyone went to see this weekend. [Full review in Spanish]|Fresh
Left unsaid but still explicit is how much larger change is left to happen.|Fresh
... [Kathryn Bigelow] creates an uncomfortable but masterly experience. [Full review in Spanish]|Fresh
Director Kathryn Bigelow has continued on from her great work in The Hurt Locker and Zero Dark Thirty and created an intense drama that feels documentary-like in nature.|Fresh
... a dramatic balance and a raw objectivity to what it recreates. [Full review in Spanish]|Fresh
"""Detroit"" is the rare film that scalds the heart and brain so intensely that the viewer immediately wants to talk with someone, anyone, about it. That may be its greatest power of all."|Fresh
The Algiers Motel incident is a f***** up, exceptional raw stretch of filmmaking, but in some ways, it consumes too much of the experience|Fresh
Detroit highlights an ugly moment in the city's history as the 1967 riots and one deadly night are revisited.|Fresh
Serves as both an immersive picture of history and a horrific cautionary tale.|Fresh
Detroit is vivid and it is demanding, designed to shake you out of complacency.|Fresh
Magnificent.|Fresh
The motel sequence is so suspenseful that it's a shame that what follows is so perfunctory.|Fresh
In one of the darkest moments I've experienced in a cinema for some time, I caught myself wondering whether the horror shown is so detailed, so unremitting, that white supremacists might actually enjoy watching it.|Rotten
However, this important but difficult film should nevertheless be seen, as much for what it tells us about 1967 as it does about the present-day.|Fresh
Far from being the biopic of a city, Detroit is at any rate a dark chapter in its history.|Fresh
Disturbing, provocative and timely - the parallels with the cases of police brutality and homicide that fuelled the Black Lives Matter campaign - this immersive dramatisation of events won't let us look away.|Fresh
It is of little importance that the harrowing true story depicted in Detroit happened 50 years ago.|Fresh
It's not an easy film to watch but Bigelow's control over every aspect ensures it's utterly convincing.|Fresh
I'm glad we have Detroit on the cinematic record, for future generations to revisit. I pray, by then, it will seem like a relic of the distant past.|Fresh
This is a film for smart people who are willing to engage with challenging, adult cinema to learn how dangerous it was for minorities in the 1960s and to become more aware of contemporary social conflicts.|Fresh
[Director Kathryn Bigelow's] forte doesn't serve this film's full ambition as a statement about American racism and a testimony of the suffering of its victims.|Rotten
If you want to have a nice time out at the movies, this is not a good idea; but if you believe in the adage that not knowing about history's mistakes dooms us to repeating them, this is an absolute must-see.|Fresh
Detroit isn't perfect. But you will never forget, or regret, that you have seen it. Bravo.|Fresh
Absolutely unmissable.|Fresh
I wouldn't be as nitpicky if it were directed by almost any other Hollywood filmmaker, but Bigelow has set a gold standard for us to judge her work by.|Fresh
While Detroit is very good at making you feel things, it's less good at telling a complete story. The film almost feels unfinished.|Rotten
We see that racism and misogyny go hand in hand in Bigelow's construction of hegemonic masculinity. [Full review in Spanish]|Fresh
Detroit encourages its audiences to observe the oppressive power structures, suggesting that America is on a very long road towards a fully shared recognition of the need for change.|Fresh
The film is certain to divide opinion but, for me, what goes wrong is an over-slow pace, a rambling storyline that doesn't make enough sense and the presence of two British actors in this most American of stories.|Rotten
Bigelow's camera functions the same as in The Hurt Locker and Zero Dark Thirty; to scrutinize incidents with the soul of documentary reporting, seeking authenticity over beauty. [Full Review in Spanish]|Fresh
Bigelow hits her country where it hurts. [Full Review in Spanish]|Fresh
Shot with a camera as nervous as the protagonists, [Detroit] generates a tension that is at moments unbearable. [Full Review in Spanish]|Fresh
A very uncomfortable film...[Full Review in Spanish]|Fresh
Kathryn Bigelow always seeks to put us in another's place, even if the result is particularly painful. [Full review in Spanish]|Fresh
Instead of prompting me to consider the divide between two groups of people - or even the prejudices of a few particularly sinister police officers - Detroit had me thinking a lot more about notions of institutional power itself.|Fresh
Detroit, however, suggests [director Kathryn Bigelow] - and her current screenwriter - still can't quite tell the difference between an impactful film and an important one.|Rotten
Even a film like Detroit-centered on a moment from hell and the real story of the harrowing death of several young Black people-can make you feel more powerful because the film privileges the Black perspective and is unflinching about our reality.|Fresh
Detroit is a triumph when Bigelow documents a single night of horrors, but when she has to conjure up the souls of the men and women who awoke the next morning, the spirits of Detroit are silent.|Fresh
A new demonstration of Kathryn Bigelow's enormous talent, this time to take you directly to an emotional hell without ever thinking about the idea that he's manipulating you for it. [Full review in Spanish]|Fresh
There's nothing glossy about director Kathryn Bigelow's latest and viewers aren't spared any of the horrific details across the entire 140-minute run time.|Fresh
What might be most characteristic of Bigelow is the eerie feeling that the police are halfway 'acting out', performing their brutality.|Fresh
Although Detroit adheres as faithfully as possible to the facts, the framing of the trial can't help but feel clichéd and redundant.|Fresh
... the film leaves us shaken with its reminder that we can't just drift along hoping peace and equality happens by itself. Without stepping in to change the system, this will happen again and again.|Fresh
It's an ambitious start that's slowly-but-surely diminished by Boal's unfocused, padded-out screenplay...|Rotten
Tense, gripping, enraging, but only about things that black Americans already know. This is a primer about racism for white people, and we must pay attention.|Fresh
It is a harrowing, relentless and intensely angry movie. As it should be.|Fresh
Unfortunately, in Detroit she [director Kathryn Bigelow] delivers not characters but caricatures. . .|Fresh
It's an admirably worthy project, but not nearly as worthy of your time as it ought to be.|Fresh
Detroit [is] a film of great integrity, but hard to recommend to any but those hardy souls who can take their cinema like a punch to the gut.|Fresh
It feels like an opportunity wasted.|Rotten
As a wake-up call to a nation, it is tense, tough and terrifyingly timely.|Fresh
The fear-loaded, dehumanising, homicidal imperative dramatized here remains, the apparent recruiting qualification for large swathes of the American Law Enforcement Community.|Fresh
Bigelow's desire to highlight this still-too-relevant tale of police brutality and racism is admirable; however, there's a difference between commenting on horrific violence and merely shoving it under a spotlight.|Rotten
Once again, Hollywood uses history to show off liberal sanctimony, this time through a story set during Detroit's 1967 race riots.|Rotten
Beyond its (admittedly virtuoso) restaging of facts, Detroit falls short, a blunt instrument with little insight into the systemic causes behind the racism.|Rotten
An expansive, angry, somewhat ragged, but always engaging watch.|Fresh
Detroit becomes a kind of neo-Gothic horror story.|Fresh
Detroit tells such a powerful, visceral tale that it demands to be seen and discussed.|Fresh
It's a hard watch...but essential cinema.|Fresh
One of the most important films you'll see this year.|Fresh
Bigelow's latest is a harrowing and utterly gripping pressure cooker of a film that thrusts you into a nightmare from which many, sadly, are still unable to wake.|Fresh
Detroit comes out of its corner slugging and barely stops. By the end the viewer has a swollen eye, ringing ears and a conviction that the referee should have stopped the fight.|Fresh
Each actor inhabits their role with a precision and mettle that means even in the depths of confusion, the complex group dynamics are easy to read.|Fresh
Delivers a visceral punch to the gut that will leave you shaking with anger and frustration.|Fresh
It's nearly impossible to watch Detroit without making references to the climate between black communities and police forces that have been infected by institutional racism -- not only in 1967... but in 2017|Fresh
"In its own polemical way, it is very powerful filmmaking but, as storytelling, it is one-dimensional. There is too much ""docu"" here and not enough drama."|Rotten
Fascinating but deeply flawed.|Fresh
