The time is our best card and our worst at the same time. Time is like the embrace of the serpent: it is warm but, at the same time, is really suffocating. Enjoy the marvellous hug. [Full review in Spansih]|Fresh
Form merges magically with content in this intuitively hypnotic and sensory treatise on colonialism in the deeps of the Amazon in the early decades of the 20th century.|Fresh
While difficult to identify a single factor that renders the film such a remarkable achievement, at the top of any list would certainly be the central performances by Nilbio Torres and Antonio Bolíva.|Fresh
The young director, Ciro Guerra, working from the diaries of two real-life explorers, lures you in with visuals so verdant and dense, in black and white widescreen, that you can almost overlook the moral simplicity.|Rotten
These are but reaching gestures from an artist who is willing yet unable to present to the world an original idea.|Rotten
"The complexity of ""Embrace of the Serpent"" lies within the simplicity of its narrative."|Fresh
The journey is definitely the destination in Embrace of the Serpent.|Fresh
[Embrace of the Serpent] at least deserves a weighty, sprawling spot in our cultural imagination.|Fresh
Embrace of the Serpent is simply poetic.|Fresh
While the naturalistic storytelling and imagery is fantastic on a surface level, the finer points of the narrative require a fearless and deeply inquisitive traveller to fully appreciate, something which this reviewer cannot claim to be.|Rotten
The time is our best card and our worst at the same time. Time is like the embrace of the serpent: it is warm but, at the same time, is really suffocating. Enjoy the marvellous hug. [Full review in Spansih]|Fresh
Form merges magically with content in this intuitively hypnotic and sensory treatise on colonialism in the deeps of the Amazon in the early decades of the 20th century.|Fresh
While difficult to identify a single factor that renders the film such a remarkable achievement, at the top of any list would certainly be the central performances by Nilbio Torres and Antonio Bolíva.|Fresh
The young director, Ciro Guerra, working from the diaries of two real-life explorers, lures you in with visuals so verdant and dense, in black and white widescreen, that you can almost overlook the moral simplicity.|Rotten
These are but reaching gestures from an artist who is willing yet unable to present to the world an original idea.|Rotten
"The complexity of ""Embrace of the Serpent"" lies within the simplicity of its narrative."|Fresh
The journey is definitely the destination in Embrace of the Serpent.|Fresh
[Embrace of the Serpent] at least deserves a weighty, sprawling spot in our cultural imagination.|Fresh
Embrace of the Serpent is simply poetic.|Fresh
While the naturalistic storytelling and imagery is fantastic on a surface level, the finer points of the narrative require a fearless and deeply inquisitive traveller to fully appreciate, something which this reviewer cannot claim to be.|Rotten
It's both a challenging and engulfing movie-going experience -- a true journey on multiple levels. And it's definitely one that should be seen on the big screen.|Fresh
Mesmerising.|Fresh
Embrace of the Serpent is a mystical movie missile from Colombia. It's ballistic, balletic, sometimes brilliant.|Fresh
I suppose, then, that it's possible to characterize Embrace of the Serpent, which seems aimed at western audiences, as an instructive and necessary act of trespass.|Fresh
A film that honours the mysteries and majesty of a lost world.|Fresh
...a lament over lost culture.|Fresh
Embrace of the Serpent is a very busy and smart film with a meditative slow burn that might haunt you.|Fresh
Shot in Super 35mm black and white well-suited to its lapses into the hallucinatory, Serpent conveys a superbly lucid sense of the jungle's density.|Fresh
It's a potent blend: a psychedelic post-colonial pilgrimage with shades of Glauber Rocha, Werner Herzog and Alejandro Jodorowsky.|Fresh
Embrace of the Serpent is a breathtakingly gorgeous Oscar-nominated drama that caresses your eyes with its visuals as it bangs you over the head with its message.|Fresh
Providing a voice to a group of people seldom seen on the big screen, Embrace of the Serpent is a must-see.|Fresh
One of the most profound filmmaking experiences of my lifetime.|Fresh
Shot in luminous black-and-white in the Colombian Amazon, Embrace of the Serpent looks like a series of animated photographs torn from the colonial explorers' journals that inspired it.|Fresh
Visually and emotionally stunning.|Fresh
It is surely one of the most beautiful films in a long time.|Fresh
...a flawless masterpiece and essential viewing...|Fresh
The many awards and accolades (including an Oscar nomination as Best Foreign Language Film) together with positive reviews quoted on the marketing materials for this film lifted my expectations - perhaps too high|Rotten
Visually stunning, the raw beauty of the landscape is breathtaking, yet the narrative involving two scientists and their search 40 years apart fails to embrace as it should|Fresh
There's something deliciously off-kilter about folding a story about the abuse and genocide of indigenous South American cultures into what amounts to a mismatched buddy comedy.|Fresh
It's a beautiful, stirring, and thoughtful film, well worth seeing.|Fresh
Colombian director Ciro Guerra conjures the mesmeric tones of Conrad and Herzog in this time-jumping fable about a shaman guiding two white explorers in search of a rare plant, 31 years apart.|Fresh
Mercifully, Ciro Guerra's film is not another Heart of Darkness-style meditation on the so-called white man's burden.|Fresh
While Guerra clearly owes a debt to Herzog and Coppola, he blazes his own trail. I can't wait to take this trip again.|Fresh
Complex and thought-provoking.|Fresh
I was utterly mesmerised, captivated and transported.|Fresh
Young Colombian director Guerra's visionary and wildly ambitious film seems like a movie from another era.|Fresh
David Gallego's opalescent monochrome cinematography is simply breathtaking and only enhances an utterly magnetic experience.|Fresh
What a gripping and absorbing piece of work.|Fresh
This is no heavy-handed tale of Western decadence versus pure indigenous wisdom, with Guerra constantly emphasising the ambiguous relationship between the two.|Fresh
Every now and then, with great infrequency (alas), a film comes along that is like no other and completely knocks you for six, and that is Embrace of the Serpent.|Fresh
Embrace of the Serpent swells with unhappy images, but it is also fired by poetry and, in Karamakate, it has one of cinema's great stubborn heroes.|Fresh
An exquisitely rendered study of colonialism, memory and cultural erasure.|Fresh
Majestic and thought-provoking, Embrace of the Serpent presents a vivid vision of a lost world, and is touching in its closing dedication to 'peoples whose song we will never know.'|Fresh
Though inspired by real-life journals, Guerra's haunting and beautifully shot film transports us into the realm of the mystical and surreal.|Fresh
A fascinating work, filled with unforgettable images and narrative daring.|Fresh
A fever dream, evoking images, equally beautiful and haunting, forcing us to reflect on the world and, in turn, ourselves.|Fresh
An essential difference between this and previous similar movies is that the central point of view is not that of a European or North American interloper but that of an occupant of the forest -- in this case, a feather-bedecked Amazonian shaman.|Fresh
Karamakate worries the world will forget how to see and hear. This lucid, original and unsettling cinematic dream offers a way to remember.|Fresh
It's appropriate that this black-and-white drama feels as hypnotic and surreal as a voyage into the Amazon rainforest.|Fresh
Embrace of the Serpent does a remarkable job of telling a multifaceted and compelling story.|Fresh
"""Embrace of the Serpent"" takes a journey into the heart of darkness, but it takes a journey into the heart of light as well."|Fresh
Rich and strange mystical film that is filled to the bursting point with dream images and bizarre characters.|Fresh
What we learn about the evils of colonialism and the importance of chronicling one's past, whether European, American or indigenous, is transcendent.|Fresh
Every time the film gets obvious in its anti-colonial perspective, it draws you in with its mesmerizing look and skin-crawly sound design.|Fresh
Exotic and evocative, surreal in its primal eloquence and spirituality.|Fresh
This cinematic journey into an Amazonian heart of darkness is a haunting and unforgettable experience.|Fresh
The film isn't just a portrayal of the battle between the old and the new. It's a lament for the ways in which they reflect each other...|Fresh
A strange, wonderfully exotic quest that examines the impact of rapid colonization and the obsessive thirst for knowledge.|Fresh
The movie drifts back and forth between the two time periods, winding down the same river as though it were a twisting snake, getting closer and closer to its mouth, jaws and venom.|Fresh
