Middling film that relies heavily on 1980s nostalgia-and unfortunately, the racist and male-centric tropes of that decade as well.|Rotten
...absolutely delightful, a coming-of-age story filled with catchy 1980s pop music and wonderfully charming and romantic performances.|Fresh
"The crafty and colorful Sing Street could be perceived as the junior-sized extension of the aforementioned ""Once"" where lyrics and love methodically come together in unison."|Fresh
John Carney's retro-feelgood mash-up, Sing Street, is elevated by its sheer charm and the way it taps into a fundamental truth about the sentiment of teenage yearning.|Fresh
A magnificent coming of age film from John Carney perfectly connects music to beauty of life.|Fresh
Carney nails the tone of the film and everything from the costumes, to the dialogue and music will have you leaving the theater feeling uplifted and tapping your feet.|Fresh
A glowing youth fantasy surrounded by the increasing pressures of real life, Carney's musical is caught between the wonder of adolescent discovery and cynical adulthood.|Fresh
Nothing startling here, but a likeable young cast and an irresistible vibe.|Fresh
Sing Street has a great pace and a fantastic climax that will find you leaving the cinema smiling after a truly excellent Irish film.|Fresh
Sing Street captures the happy/sad state of adolescence. It's a cinematic ear-worm you won't want to shake.|Fresh
Middling film that relies heavily on 1980s nostalgia-and unfortunately, the racist and male-centric tropes of that decade as well.|Rotten
...absolutely delightful, a coming-of-age story filled with catchy 1980s pop music and wonderfully charming and romantic performances.|Fresh
"The crafty and colorful Sing Street could be perceived as the junior-sized extension of the aforementioned ""Once"" where lyrics and love methodically come together in unison."|Fresh
John Carney's retro-feelgood mash-up, Sing Street, is elevated by its sheer charm and the way it taps into a fundamental truth about the sentiment of teenage yearning.|Fresh
A magnificent coming of age film from John Carney perfectly connects music to beauty of life.|Fresh
Carney nails the tone of the film and everything from the costumes, to the dialogue and music will have you leaving the theater feeling uplifted and tapping your feet.|Fresh
A glowing youth fantasy surrounded by the increasing pressures of real life, Carney's musical is caught between the wonder of adolescent discovery and cynical adulthood.|Fresh
Nothing startling here, but a likeable young cast and an irresistible vibe.|Fresh
Sing Street has a great pace and a fantastic climax that will find you leaving the cinema smiling after a truly excellent Irish film.|Fresh
Sing Street captures the happy/sad state of adolescence. It's a cinematic ear-worm you won't want to shake.|Fresh
Sing Street is not an especially important movie that will long be remembered, but its virtues make it an enjoyable viewing experience.|Fresh
A departure for Carney is that Sing Street is set in the past; another is that it has teenage protagonists; and this combination gives his new film a nostalgic sweetness and exuberance that is thoroughly winning.|Fresh
"Pretty much every song in this movie (especially ""Drive It Like You Stole It"" and ""Riddle Of The Model"") all feel worthy of Academy Awards consideration for Best Original Song"|Fresh
Carney is no stranger to musical movies and this one is no different.|Fresh
... Sing Street is sweet and fun and well worth a watch.|Fresh
A warm-hearted film which brings simple yet effective storytelling to the fore.|Fresh
Audiences with memories of the 1980s will surely find themselves humming right along with all the right sentiments.|Fresh
Scenes transparently designed to sweep an audience away with the power of music falter, because the songs are weak. But the young cast do look the part.|Rotten
With its buoyant storytelling, witty exchanges, and charming young characters, Sing Street is an immensely enjoyable film.|Fresh
Sing Street isn't all bad... but the bad parts are pretty bad.|Rotten
"In the end, ""Sing Street"" may cause you to grimace, it may also inspire you to find your own song."|Fresh
Sing Street is a feel-good movie and there's nothing wrong with that, especially when it is a well-done homage.|Fresh
There is more to like in Sing Street than there is to hate, but it is the missteps that truly stay with you.|Rotten
"One of the year's top 10 movies. Bonus points for including the best line of 2016: ""No woman can truly love a man who listens to Phil Collins."""|Fresh
Immensely satisfying.|Fresh
Like the best pop bands, Sing Street is more than the sum of its parts; like the canniest pop songs, it transcends a familiar formula with charm.|Fresh
Touching and achingly funny.|Fresh
Piffle, really, with guitars.|Rotten
A great film that remind us of our teenage years and the energy and dreams that for once made us think we could conquer the world. [Full review in Spanish]|Fresh
One of the best films of 2016, with good music, which also makes you understand that you are able to create it. [Full review in Spanish]|Fresh
Its levity and humor are made stronger by the underlining pain of the characters. [Full review in Portuguese.]|Fresh
The humour is sweet and cheerful, and the pastiche songs in the styles of Duran Duran, the Cure and others are spot-on.|Fresh
Executed with graciousness and sweetness.|Fresh
...catnip for anyone who grew up with 1980s bands like Duran Duran and The Cure.|Fresh
A film where music is a escape, and that stretches credibility to a breaking point, but it is undeniable that it works. [Full review in Spanish]|Fresh
Sing Street always wants to go further and fortunately has what it takes to do so. [Full review in Spanish]|Fresh
A nostalgic film about dreams, illusion, falling in love, wanting to discover the world, write love songs and running away with your loved one. [Full review in Spanish]|Fresh
More than three hours of irresistible footage that, even though is a trivial film, it will get stuck in your head. [Full review in Spanish]|Fresh
An entertaining film focused on the transforming power of music. [Full review in Spanish]|Fresh
A real treat for the melancholy and music lovers. [Full review in Spanish]|Fresh
A fun and inspiring coming-of-age that you cannot miss this weekend on the movie theater. [Full review in Spanish]|Fresh
A film with a good message that will last in our minds once we get out the movie theater. [Full review in Spanish]|Fresh
A guilty pleasure that works. [Full review in Spanish]|Fresh
Sing Street has the hair of the 80s, but a timeless heart.|Fresh
Sing Street, while not telling a tale that could be labeled as anything close to original, still crackles with an innovative vitality all its own, making its climactic leaps into the starry-eyed unknown all the more wonderful because of this.|Fresh
Carney has managed to show all of the melancholy and loneliness of youth, but has counterbalanced it with so much joy and enthusiasm that you'll be left reeling.|Fresh
Sing Street takes its inspiration from the music and movies of the '80s, tapping into nostalgia for the time with its messages about self-expression.|Fresh
John Carney just continues impressing with brilliant, beautiful tributes to the magic of music and how much is represents the language of life.|Fresh
What it lacks in the bigger-budget, star-filled polish that was Begin Again is compensated for in charm.|Fresh
While Sing Street may not have a lot of originality to offer in the story department, it still rises on the strengths of its incredible soundtrack, a great ensemble, and a charm that permeates its classic setup.|Fresh
[Blu-ray Review] Don't let this must-own gem pass you by.|Fresh
Irish filmmaker John Carney's abiding affection for the emotional pull of making music gets a buoyant charge of adolescent nostalgia in Sing Street, a charming tale of first band and first love.|Fresh
It's like Say Anything meets Billy Elliott meets The Commitments - in the best possible way. ... Joy is the film's reason for being, and joy wins the day.|Fresh
Writer-director John Carney successfully rehabilitates the movie musical in this heartwarming coming-of-age story set in Dublin in the 1980s.|Fresh
Sing Street is a pleasing, heart-warming journey with a tight screenplay and a strong soundtrack.|Fresh
...leaden...saccharine...|Rotten
Ultimately, this coexistence of joyful fantasy and dispiriting reality is what lifts Sing Street above the cheesiness of its premise.|Fresh
With a great cast, soundtrack and a tender soul, Sing Street deserves to be an enduring antidote to nostalgia, a giant of modern Irish cinema.|Fresh
It might look and feel like just another coming-of-age, finding-of-talent affair, but there is something a little extra in play here that takes the film well beyond its modest ambitions.|Fresh
It feels like Carney's characters are finally getting the fate they deserve, and that's not just a demo tape and career prospects.|Fresh
John Carney's Sing Street is a total delight from start to finish, and the best film about the pure joy of making music since We Are The Best! (2013), with which it shares similarities ... It is also a completely engaging, hugely romantic love story.|Fresh
The authenticity of place and time, the bubbling performances of the teens who take centre stage in this almost mythical story of growing into their dreams, and the music combine to give us an enthralling time|Fresh
This feel-good flick should please musical devotees as well as hopeless romantics everywhere.|Fresh
If there were an Oscar for capturing the alchemy of composing songs on screen, it could only go to Carney.|Fresh
Sing Street is a shaggy, uneven, but undeniably endearing and entertaining film, especially if this was the music of your childhood, as it was mine.|Fresh
If anything, it's even better than The Commitments because it doesn't go in for the slick manipulation associated with that film's director, Alan Parker.|Fresh
'Sing Street' hits all the right notes.|Fresh
Sing Street pays loving tribute to a decade of woeful fashion choices and the music of Duran Duran, Spandau Ballet and The Cure, while capturing the emotional vulnerability of adolescent artistic expression.|Fresh
A buoyant celebration of the power of music, this is the third blissfully entertaining musical romance from John Carney, who also wrote and directed Once and Begin Again.|Fresh
Carney nails every quirky detail.|Fresh
After Once and Begin Again, Irish writer-director John Carney makes it a hat-trick of delightful rites-of-passage musical films with his latest, Sing Street.|Fresh
Coming after Once and Begin Again it offers further proof of director John Carney's ability to make crowd-pleasing musical dramas with a lingering, bittersweet aftertaste.|Fresh
I laughed, I cried, I bought the soundtrack album.|Fresh
Carney's captivating combination of catchy songs and compelling characters is so charming you won't want it to end. Surely set to be one of the films of the year.|Fresh
For at least half its running length Sing Street is tremendous: a coming of age story set in early 80s Dublin that has the comic poignance and truthfulness of a Gregory's Girl or a Son Rambow.|Fresh
Love the film, buy the soundtrack, paint your nails, put some blusher on and fall in love for the first time, again.|Fresh
"Exuberant in a winningly ramshackle way, this is the cinematic equivalent of a classic disposable pop song and - as Noel Coward pointed out - it's ""strange how potent cheap music is...""​"|Fresh
Cornily heart-warming, it's an absolute delight and a welcome relief from the shock and bore of the typical multiplex blockbuster.|Fresh
Carney seems to be viewing his imagined world with both sepia and rose tints, yet the result is still, with sufficient suspension of disbelief, sweetly enjoyable.|Fresh
John Carney's love affair with pop music is one of indie cinema's pleasures, blending a busker's spirit with lovely songs presented in stirring dramatic context.|Fresh
A delightful coming-of-age tale that both celebrates young love and laments how quickly the fire of youth can be snuffed out.|Fresh
Like a great pop song, this film is over much too soon.|Fresh
As joyous a moviegoing experience as 2016 has offered to date, sweet and funny and just dark enough to keep the admittedly imitative story interesting.|Fresh
Energetic and enjoyable - it's nostalgic music to your ears!|Fresh
Like a tie-in soundtrack album in search of a movie.|Rotten
A nostalgia-infused, fairytale of a movie that is simply impossible to dislike.|Fresh
Sing Street very definitely intends to revive those feelings you had at hearing that music and seeing bands you had often never heard of that displayed undeniable fashion risks and quirky visual choices.|Fresh
A truly touching tribute to teenhood and that time when you didn't know what you didn't know.|Fresh
Carney has pulled a beautiful and bittersweet dream from the ether and shared it with us.|Fresh
At its best, this is an absolute darling of a movie, offering a tender and rueful look at the intensity of youth, when love and music are practically inseparable.|Fresh
I liked Sing Street pretty much from the word go and only went on to like it more from that point onwards.|Fresh
Good-hearted, charming, winning little movie with doses of genuine magic -- and an authentic sense of time and place and youthfulness. It might restore your faith in the musical film.|Fresh
'Charming' is a perfect word to describe Sing Street.|Fresh
Great fun, with a terrific euro-grunge soundtrack.|Fresh
With 'Sing Street', John Carney once again is pleasantly tuned in to the music scene.|Fresh
The three leads make Sing Street as alive and vital as the spirit of rock 'n' roll that it celebrates.|Fresh
A spunky romantic drama about a gifted singer and songwriter who is transformed by music and love|Fresh
Singing for Survival|Fresh
"There are enough delicious details here to keep ""Sing Street"" alive and kicking."|Fresh
John Carney's third film is a joyous celebration of 1980s rock, youth, and love. One of the best films of the year.|Fresh
No one will ever hate him- or herself for going along with the sentimental Irish improbabilities.|Fresh
"Sure, it's only ""Commitments-Lite."" It's still infectious and sweet"|Fresh
Save some time. Go buy the soundtrack before you see this vibrant slice of '80s pop culture.|Fresh
... a delightful little film that feels true to its time and place.|Fresh
An exuberant musical ... graceful, with warm humor and a touch of bittersweet nostalgia.|Fresh
The music-minded filmmaker is on surer ground in Sing Street, with his own Irish upbringing viewed through wish-fulfillment goggles.|Fresh
Just as with Once and Begin Again, Sing Street will make you laugh, cry and leave you humming its songs for days.|Fresh
It's official: John Carney is making the best movie musicals anywhere in the world.|Fresh
As long as Sing Street stays on this sweet, sentimental path, the film is an agreeable toe-tapper.|Fresh
Sing Street feels personal, as well as universal, and it captures the warring factions of youthful euphoria and despair.|Fresh
Carney's best work to date, smoothly merging his storytelling and jukebox obsessions. Even with a few rocky moments, it all works with irresistible confidence.|Fresh
"""Sing Street"" is hardly original. It's not even original for Carney. But, like a great old song that comes on the radio, just because you've heard it a thousand times before doesn't mean you won't crank it up."|Fresh
That knockout sequence holds the key to 'Sing Street,' and to all of Carney's musicals - the idea that when you find your way into a song, you can create your own destiny.|Fresh
Sing Street is no Once, but it's a huge improvement over Begin Again, and a must for anyone who cares about the pop music of the mid-80s. (Splice Today)|Fresh
Sing Street is a crowd-pleasing, glittery '80s nostalgia trip, and John Carney's most red-blooded effort yet.|Fresh
I could scarcely be more delighted to report that Carney has rediscovered the magic of Once with Sing Street, another tiny, winsome charmer set in Dublin.|Fresh
